,province_name,temp,link
0,Lai Châu,18°C,https://nchmf.gov.vn/Kttv/vi-VN/1/lai-chau-w64.html
1,Điện Biên,24°C,https://nchmf.gov.vn/Kttv/vi-VN/1/dien-bien-w38.html
2,Sơn La,18°C,https://nchmf.gov.vn/Kttv/vi-VN/1/son-la-w45.html
3,Hòa Bình,18°C,https://nchmf.gov.vn/Kttv/vi-VN/1/hoa-binh-w2.html
4,Lào Cai,18°C,https://nchmf.gov.vn/Kttv/vi-VN/1/lao-cai-w37.html
5,Yên Bái,18°C,https://nchmf.gov.vn/Kttv/vi-VN/1/yen-bai-w53.html
6,Hà Giang,18°C,https://nchmf.gov.vn/Kttv/vi-VN/1/ha-giang-w36.html
7,Tuyên Quang,20°C,https://nchmf.gov.vn/Kttv/vi-VN/1/tuyen-quang-w50.html
8,Bắc cạn,18°C,https://nchmf.gov.vn/Kttv/vi-VN/1/bac-can-w52.html
9,Thái Nguyên,20°C,https://nchmf.gov.vn/Kttv/vi-VN/1/thai-nguyen-w51.html
10,Phú Thọ,19°C,https://nchmf.gov.vn/Kttv/vi-VN/1/phu-tho-w43.html
11,Vĩnh Phúc,20°C,https://nchmf.gov.vn/Kttv/vi-VN/1/vinh-phuc-w44.html
12,Cao Bằng,17°C,https://nchmf.gov.vn/Kttv/vi-VN/1/cao-bang-w49.html
13,Lạng Sơn,17°C,https://nchmf.gov.vn/Kttv/vi-VN/1/lang-son-w48.html
14,Quảng Ninh,17°C,https://nchmf.gov.vn/Kttv/vi-VN/1/quang-ninh-w63.html
15,Bắc Giang,20°C,https://nchmf.gov.vn/Kttv/vi-VN/1/bac-giang-w46.html
16,Bắc Ninh,20°C,https://nchmf.gov.vn/Kttv/vi-VN/1/bac-ninh-w47.html
17,Hải Phòng,18°C,https://nchmf.gov.vn/Kttv/vi-VN/1/hai-phong-w54.html
18,Hà Nội,18°C,https://nchmf.gov.vn/Kttv/vi-VN/1/ha-noi-w28.html
19,Hải Dương,20°C,https://nchmf.gov.vn/Kttv/vi-VN/1/hai-duong-w19.html
20,Hưng Yên,19°C,https://nchmf.gov.vn/Kttv/vi-VN/1/hung-yen-w33.html
21,Nam Định,19°C,https://nchmf.gov.vn/Kttv/vi-VN/1/nam-dinh-w34.html
22,Hà Nam,19°C,https://nchmf.gov.vn/Kttv/vi-VN/1/ha-nam-w20.html
23,Ninh Bình,19°C,https://nchmf.gov.vn/Kttv/vi-VN/1/ninh-binh-w17.html
24,Thái Bình,19°C,https://nchmf.gov.vn/Kttv/vi-VN/1/thai-binh-w18.html
25,Thanh Hóa,18°C,https://nchmf.gov.vn/Kttv/vi-VN/1/thanh-hoa-w61.html
26,Nghệ An,18°C,https://nchmf.gov.vn/Kttv/vi-VN/1/nghe-an-w3.html
27,Hà Tĩnh,18°C,https://nchmf.gov.vn/Kttv/vi-VN/1/ha-tinh-w4.html
28,Quảng Bình,21°C,https://nchmf.gov.vn/Kttv/vi-VN/1/quang-binh-w5.html
